year,month,state,type_of_producer,energy_source,generation_mwh,date
2007,7,DC,Total Electric Power Industry,Petroleum,11312,2007-07-01
2007,7,DC,Total Electric Power Industry,Total,11312,2007-07-01
2007,7,DC,"Electric Generators, Independent Power Producers",Petroleum,11312,2007-07-01
2007,7,DC,"Electric Generators, Independent Power Producers",Total,11312,2007-07-01
2007,8,DC,Total Electric Power Industry,Petroleum,40581,2007-08-01
2007,8,DC,Total Electric Power Industry,Total,40581,2007-08-01
2007,8,DC,"Electric Generators, Independent Power Producers",Petroleum,40581,2007-08-01
2007,8,DC,"Electric Generators, Independent Power Producers",Total,40581,2007-08-01
2007,9,DC,Total Electric Power Industry,Petroleum,5516,2007-09-01
2007,9,DC,Total Electric Power Industry,Total,5516,2007-09-01
2007,9,DC,"Electric Generators, Independent Power Producers",Petroleum,5516,2007-09-01
2007,9,DC,"Electric Generators, Independent Power Producers",Total,5516,2007-09-01
2007,10,DC,Total Electric Power Industry,Petroleum,3636,2007-10-01
2007,10,DC,Total Electric Power Industry,Total,3636,2007-10-01
2007,10,DC,"Electric Generators, Independent Power Producers",Petroleum,3636,2007-10-01
2007,10,DC,"Electric Generators, Independent Power Producers",Total,3636,2007-10-01
2007,11,DC,Total Electric Power Industry,Petroleum,-707,2007-11-01
2007,11,DC,Total Electric Power Industry,Total,-707,2007-11-01
2007,11,DC,"Electric Generators, Independent Power Producers",Petroleum,-707,2007-11-01
2007,11,DC,"Electric Generators, Independent Power Producers",Total,-707,2007-11-01
2007,12,DC,Total Electric Power Industry,Petroleum,-521,2007-12-01
2007,12,DC,Total Electric Power Industry,Total,-521,2007-12-01
2007,12,DC,"Electric Generators, Independent Power Producers",Petroleum,-521,2007-12-01
2007,12,DC,"Electric Generators, Independent Power Producers",Total,-521,2007-12-01
2008,1,DC,Total Electric Power Industry,Petroleum,2997,2008-01-01
2008,1,DC,Total Electric Power Industry,Total,2997,2008-01-01
2008,1,DC,"Electric Generators, Independent Power Producers",Petroleum,2997,2008-01-01
2008,1,DC,"Electric Generators, Independent Power Producers",Total,2997,2008-01-01
2008,2,DC,Total Electric Power Industry,Petroleum,1258,2008-02-01
2008,2,DC,Total Electric Power Industry,Total,1258,2008-02-01
2008,2,DC,"Electric Generators, Independent Power Producers",Petroleum,1258,2008-02-01
2008,2,DC,"Electric Generators, Independent Power Producers",Total,1258,2008-02-01
2008,3,DC,Total Electric Power Industry,Petroleum,401,2008-03-01
2008,3,DC,Total Electric Power Industry,Total,401,2008-03-01
2008,3,DC,"Electric Generators, Independent Power Producers",Petroleum,401,2008-03-01
2008,3,DC,"Electric Generators, Independent Power Producers",Total,401,2008-03-01
2008,4,DC,Total Electric Power Industry,Petroleum,0,2008-04-01
2008,4,DC,Total Electric Power Industry,Total,0,2008-04-01
2008,4,DC,"Electric Generators, Independent Power Producers",Petroleum,0,2008-04-01
2008,4,DC,"Electric Generators, Independent Power Producers",Total,0,2008-04-01
2008,5,DC,Total Electric Power Industry,Petroleum,0,2008-05-01
2008,5,DC,Total Electric Power Industry,Total,0,2008-05-01
2008,5,DC,"Electric Generators, Independent Power Producers",Petroleum,0,2008-05-01
2008,5,DC,"Electric Generators, Independent Power Producers",Total,0,2008-05-01
2008,6,DC,Total Electric Power Industry,Petroleum,50119,2008-06-01
2008,6,DC,Total Electric Power Industry,Total,50119,2008-06-01
2008,6,DC,"Electric Generators, Independent Power Producers",Petroleum,50119,2008-06-01
2008,6,DC,"Electric Generators, Independent Power Producers",Total,50119,2008-06-01
2008,7,DC,Total Electric Power Industry,Petroleum,8742,2008-07-01
2008,7,DC,Total Electric Power Industry,Total,8742,2008-07-01
2008,7,DC,"Electric Generators, Independent Power Producers",Petroleum,8742,2008-07-01
2008,7,DC,"Electric Generators, Independent Power Producers",Total,8742,2008-07-01
2008,8,DC,Total Electric Power Industry,Petroleum,5479,2008-08-01
2008,8,DC,Total Electric Power Industry,Total,5479,2008-08-01
2008,8,DC,"Electric Generators, Independent Power Producers",Petroleum,5479,2008-08-01
2008,8,DC,"Electric Generators, Independent Power Producers",Total,5479,2008-08-01
2008,9,DC,Total Electric Power Industry,Petroleum,579,2008-09-01
2008,9,DC,Total Electric Power Industry,Total,579,2008-09-01
2008,9,DC,"Electric Generators, Independent Power Producers",Petroleum,579,2008-09-01
2008,9,DC,"Electric Generators, Independent Power Producers",Total,579,2008-09-01
2008,10,DC,Total Electric Power Industry,Petroleum,2741,2008-10-01
2008,10,DC,Total Electric Power Industry,Total,2741,2008-10-01
2008,10,DC,"Electric Generators, Independent Power Producers",Petroleum,2741,2008-10-01
2008,10,DC,"Electric Generators, Independent Power Producers",Total,2741,2008-10-01
2008,11,DC,Total Electric Power Industry,Petroleum,0,2008-11-01
2008,11,DC,Total Electric Power Industry,Total,0,2008-11-01
2008,11,DC,"Electric Generators, Independent Power Producers",Petroleum,0,2008-11-01
2008,11,DC,"Electric Generators, Independent Power Producers",Total,0,2008-11-01
