year;month;state;type_of_producer;energy_source;generation_mwh;date
2006;5;DC;Total Electric Power Industry;Total;1706;01/05/2006
2006;5;DC;Electric Generators, Independent Power Producers;Petroleum;1706;01/05/2006
2006;5;DC;Electric Generators, Independent Power Producers;Total;1706;01/05/2006
2006;6;DC;Total Electric Power Industry;Petroleum;3743;01/06/2006
2006;6;DC;Total Electric Power Industry;Total;3743;01/06/2006
2006;6;DC;Electric Generators, Independent Power Producers;Petroleum;3743;01/06/2006
2006;6;DC;Electric Generators, Independent Power Producers;Total;3743;01/06/2006
2006;7;DC;Total Electric Power Industry;Petroleum;22549;01/07/2006
2006;7;DC;Total Electric Power Industry;Total;22549;01/07/2006
2006;7;DC;Electric Generators, Independent Power Producers;Petroleum;22549;01/07/2006
2006;7;DC;Electric Generators, Independent Power Producers;Total;22549;01/07/2006
2006;8;DC;Total Electric Power Industry;Petroleum;47754;01/08/2006
2006;8;DC;Total Electric Power Industry;Total;47754;01/08/2006
2006;8;DC;Electric Generators, Independent Power Producers;Petroleum;47754;01/08/2006
2006;8;DC;Electric Generators, Independent Power Producers;Total;47754;01/08/2006
2006;9;DC;Total Electric Power Industry;Petroleum;-516;01/09/2006
2006;9;DC;Total Electric Power Industry;Total;-516;01/09/2006
2006;9;DC;Electric Generators, Independent Power Producers;Petroleum;-516;01/09/2006
2006;9;DC;Electric Generators, Independent Power Producers;Total;-516;01/09/2006
2006;10;DC;Total Electric Power Industry;Petroleum;553;01/10/2006
2006;10;DC;Total Electric Power Industry;Total;553;01/10/2006
2006;10;DC;Electric Generators, Independent Power Producers;Petroleum;553;01/10/2006
2006;10;DC;Electric Generators, Independent Power Producers;Total;553;01/10/2006
2006;11;DC;Total Electric Power Industry;Petroleum;-659;01/11/2006
2006;11;DC;Total Electric Power Industry;Total;-659;01/11/2006
2006;11;DC;Electric Generators, Independent Power Producers;Petroleum;-659;01/11/2006
2006;11;DC;Electric Generators, Independent Power Producers;Total;-659;01/11/2006
2006;12;DC;Total Electric Power Industry;Petroleum;2690;01/12/2006
2006;12;DC;Total Electric Power Industry;Total;2690;01/12/2006
2006;12;DC;Electric Generators, Independent Power Producers;Petroleum;2690;01/12/2006
2006;12;DC;Electric Generators, Independent Power Producers;Total;2690;01/12/2006
2007;1;DC;Total Electric Power Industry;Petroleum;-518;01/01/2007
2007;1;DC;Total Electric Power Industry;Total;-518;01/01/2007
2007;1;DC;Electric Generators, Independent Power Producers;Petroleum;-518;01/01/2007
2007;1;DC;Electric Generators, Independent Power Producers;Total;-518;01/01/2007
2007;2;DC;Total Electric Power Industry;Petroleum;2682;01/02/2007
2007;2;DC;Total Electric Power Industry;Total;2682;01/02/2007
2007;2;DC;Electric Generators, Independent Power Producers;Petroleum;2682;01/02/2007
